"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"KC","2018-09-21","82.8","-1.8639","6.5440","Mark Melancon",664056,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",2,1,2018,"0.8039","-1.1309","1.2125","1.0842","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031916","5.4277","-120.3371","-3.7266","6.5254","24.6026","-42.4085","3.3034","1.5548","null","null","null","81.8160","2645","5.8140",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.6841","null","null","null","null","null","null","null",70,"4","Knuckle Curve",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-09-21","92.0","-1.8936","6.5095","Mark Melancon",664056,453343,"null","ball",,,,,"11","null","R","R","R","STL","SF","B","null","null",1,1,2018,"-0.4663","0.7899","-1.0413","2.5283","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031853","3.1670","-133.9145","-6.0276","-6.2475","25.6325","-21.6576","3.3619","1.5548","null","null","null","92.4250","2330","6.2720",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.2264","null","null","null","null","null","null","null",70,"3","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-09-21","92.6","-1.8610","6.4523","Mark Melancon",664056,453343,"null","ball",,,,,"13","null","R","R","R","STL","SF","B","null","null",0,1,2018,"-0.6351","1.1081","-0.5711","1.4893","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031829","4.6780","-134.6192","-9.2982","-8.7157","27.8785","-16.9369","3.3911","1.6425","null","null","null","92.7910","2490","6.3510",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.1474","null","null","null","null","null","null","null",70,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"KC","2018-09-21","82.5","-1.5899","6.6002","Mark Melancon",664056,453343,"null","called_strike",,,,,"5","null","R","R","R","STL","SF","S","null","null",0,0,2018,"0.2474","-1.1207","-0.0432","2.3677","null","null","null",2,8,"Bot","null","null",,,460026,,"180922_031811","3.0289","-120.1303","-0.9741","1.7867","23.1136","-42.9483","3.3034","1.5840","null","null","null","82.1830","2640","6.0230",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.4756","null","null","null","null","null","null","null",70,"1","Knuckle Curve",3,3,3,3,3,3,3,3,"Standard","Strategic"
"FC","2018-09-21","91.5","-1.9361","6.4355","Mark Melancon",425877,453343,"null","called_strike",,,,,"8","null","R","R","R","STL","SF","S","null","null",3,1,2018,"-0.1864","0.6017","0.0995","1.9994","null","null","null",1,8,"Bot","null","null",,,460026,,"180922_031707","5.6151","-133.2896","-6.7744","-3.3957","26.5519","-23.6457","3.4853","1.7081","null","null","null","92.9100","2352","6.9030",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"53.5951","null","null","null","null","null","null","null",69,"5","Cutter",3,3,3,3,3,3,3,3,"Standard","Standard"
"FC","2018-09-21","92.9","-1.7860","6.4243","Mark Melancon",425877,453343,"null","called_strike",,,,,"14","null","R","R","R","STL","SF","S","null","null",3,0,2018,"0.0468","0.6805","0.8880","2.2488","null","null","null",1,8,"Bot","null","null",,,460026,,"180922_031648","6.8178","-135.2511","-6.5204","-0.8428","28.3334","-22.4705","3.5437","1.7081","null","null","null","94.0390","2438","6.8410",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"53.6575","null","null","null","null","null","null","null",69,"4","Cutter",3,3,3,3,3,3,3,3,"Standard","Standard"
"FC","2018-09-21","92.1","-1.7948","6.4955","Mark Melancon",425877,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",2,0,2018,"-0.1323","0.7657","0.7191","1.3478","null","null","null",1,8,"Bot","null","null",,,460026,,"180922_031627","6.7047","-133.8496","-8.9734","-2.9690","27.0802","-21.2157","3.5437","1.7081","null","null","null","92.7710","2484","6.6170",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"53.8819","null","null","null","null","null","null","null",69,"3","Cutter",3,3,3,3,3,3,3,3,"Standard","Standard"
"KC","2018-09-21","83.9","-1.7740","6.5583","Mark Melancon",425877,453343,"null","ball",,,,,"14","null","R","R","R","STL","SF","B","null","null",1,0,2018,"0.5813","-0.9494","0.5963","1.2139","null","null","null",1,8,"Bot","null","null",,,460026,,"180922_031608","4.3137","-121.9995","-4.0152","4.7418","26.1764","-40.8305","3.4560","1.6789","null","null","null","82.8840","2656","5.8570",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.6410","null","null","null","null","null","null","null",69,"2","Knuckle Curve",3,3,3,3,3,3,3,3,"Standard","Standard"
"FF","2018-09-21","93.5","-1.6895","6.5144","Mark Melancon",425877,453343,"null","ball",,,,,"7","null","R","R","R","STL","SF","B","null","null",0,0,2018,"-0.5775","1.1625","-0.5072","1.5126","null","null","null",1,8,"Bot","null","null",,,460026,,"180922_031550","4.3421","-135.8216","-9.7312","-8.1460","29.8053","-15.7649","3.3683","1.5328","null","null","null","93.7620","2361","6.5420",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"53.9561","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",3,3,3,3,3,3,3,3,"Standard","Standard"
"FC","2018-09-21","91.9","-1.9973","6.4351","Mark Melancon",576397,453343,"strikeout","called_strike",,,,,"4","Jedd Gyorko called out on strikes.  ","R","R","R","STL","SF","S",2,"null",0,2,2018,"-0.2073","0.6572","-0.8194","2.1073","null","null","null",0,8,"Bot","null","null",,,460026,,"180922_031516","3.4381","-133.7488","-6.5673","-3.2151","28.0787","-23.0966","3.1165","1.5238","null","null","null","92.1450","2137","6.3670",531710,453343,460026,605244,593700,446334,543063,453923,491676,596103,"54.1313","null","null","0.00",1,0,0,"null",68,"3","Cutter",3,3,3,3,3,3,3,3,"Standard","Standard"
