"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CH","2018-05-02","77.3","1.2387","6.4960","D.J. Snelten",454560,592769,"null","called_strike",,,,,"8","null","R","R","L","SF","SD","S","null","null",1,0,2018,"0.9482","0.2094","-0.0861","1.6313","null","null","null",1,9,"Top","null","null",,,460026,,"180502_223818","-4.5425","-112.6908","-3.9943","8.8164","15.1409","-29.9871","3.4838","1.5746","null","null","null","78.2120","1938","6.2570",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.2406","null","null","null","null","null","null","null",79,"2","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","89.3","1.3713","6.5927","D.J. Snelten",454560,592769,"null","ball",,,,,"12","null","R","R","L","SF","SD","B","null","null",0,0,2018,"0.7739","0.6405","1.0999","3.1413","null","null","null",1,9,"Top","null","null",,,460026,,"180502_223806","-2.2737","-130.2034","-3.9284","9.2324","22.6808","-24.3648","3.5413","1.5971","null","null","null","89.7990","1675","6.1070",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.3905","null","null","null","null","null","null","null",79,"1","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","87.5","1.4423","6.5266","D.J. Snelten",641319,592769,"null","ball",,,,,"12","null","R","L","L","SF","SD","B","null","null",0,0,2018,"0.7601","0.7490","0.0995","3.5856","null","null","null",0,9,"Top","null","null",,,460026,,"180502_223719","-4.8138","-127.5720","-2.6477","9.2035","20.5522","-23.6111","3.1078","1.3114","null","null","null","88.5180","1674","6.3370",529867,592769,460026,474832,605509,446334,543063,453923,457706,491676,"54.1600","null","null","null","null","null","null","null",78,"1","4-Seam Fastball",9,3,3,9,3,9,3,9,"Standard","Standard"
"SL","2018-05-02","77.3","-1.0688","5.3355","Phil Maton",605509,664208,"null","ball",,,,,"9","null","R","R","R","SF","SD","B","null","null",0,0,2018,"1.3152","-0.3641","0.2812","1.5560","null","474832.00","null",2,8,"Bot","null","null",,,454560,,"180502_223437","0.5077","-112.6038","-0.4857","11.0062","19.8007","-35.3827","3.3163","1.5747","null","null","null","77.1450","2772","6.0460",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"54.4515","null","null","null","null","null","null","null",77,"1","Slider",9,3,9,3,3,9,9,3,"Standard","Standard"
"SL","2018-05-02","76.8","-1.1863","5.3264","Phil Maton",543063,664208,"null","called_strike",,,,,"1","null","R","L","R","SF","SD","S","null","null",1,0,2018,"1.3080","-0.4780","-0.8169","2.7648","null","474832.00","null",1,8,"Bot","null","null",,,454560,,"180502_223331","-1.5799","-111.7986","2.3864","11.2716","18.7935","-36.7996","3.2235","1.5096","null","null","null","77.0690","2742","6.3080",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"54.1895","null","null","null","null","null","null","null",76,"2","Slider",9,3,9,3,3,9,9,3,"Standard","Strategic"
"FF","2018-05-02","91.5","-0.7917","5.5341","Phil Maton",543063,664208,"null","ball",,,,,"12","null","R","L","R","SF","SD","B","null","null",0,0,2018,"0.2247","1.0230","0.2771","4.1468","null","474832.00","null",1,8,"Bot","null","null",,,454560,,"180502_223308","2.2268","-133.5234","0.0344","2.3384","24.2457","-19.8648","3.3935","1.5546","null","null","null","92.8680","2707","6.5980",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"53.8994","null","null","null","null","null","null","null",76,"1","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Strategic"
"FF","2018-05-02","90.4","-0.8672","5.4427","Phil Maton",457706,664208,"null","ball",,,,,"11","null","R","R","R","SF","SD","B","null","null",2,1,2018,"-0.0595","1.0181","-0.4807","4.5060","null","474832.00","null",0,8,"Bot","null","null",,,454560,,"180502_223131","1.1036","-131.8570","1.3413","-0.9190","25.0399","-20.4639","3.3666","1.5847","null","null","null","91.7820","2573","6.7510",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"53.7465","null","null","null","null","null","null","null",75,"4","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Standard"
"FF","2018-05-02","89.4","-0.9016","5.4543","Phil Maton",457706,664208,"null","called_strike",,,,,"6","null","R","R","R","SF","SD","S","null","null",2,0,2018,"0.4477","0.7222","0.7457","2.7896","null","474832.00","null",0,8,"Bot","null","null",,,454560,,"180502_223107","3.1336","-130.3053","-2.1943","4.6151","24.1986","-23.5581","3.4116","1.5847","null","null","null","90.5630","2702","6.6470",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"53.8502","null","null","null","null","null","null","null",75,"3","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Standard"
"FF","2018-05-02","90.0","-0.8799","5.5973","Phil Maton",457706,664208,"null","ball",,,,,"1","null","R","R","R","SF","SD","B","null","null",1,0,2018,"-0.0551","0.8492","-0.4334","3.5259","null","474832.00","null",0,8,"Bot","null","null",,,454560,,"180502_223042","1.2339","-131.2341","-1.0425","-0.8909","26.2980","-22.2391","3.4116","1.6073","null","null","null","90.8170","2618","6.5520",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"53.9454","null","null","null","null","null","null","null",75,"2","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Standard"
"FF","2018-05-02","91.8","-0.7189","5.5660","Phil Maton",457706,664208,"null","ball",,,,,"14","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-0.1155","0.9759","1.0982","2.0254","null","474832.00","null",0,8,"Bot","null","null",,,454560,,"180502_223019","4.8982","-133.7679","-5.3532","-2.3864","26.5744","-19.3522","3.3775","1.5281","null","null","null","92.9600","2628","6.7240",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"53.7737","null","null","null","null","null","null","null",75,"1","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Standard"
"SL","2018-05-02","78.3","-1.0240","5.4332","Phil Maton",474832,664208,"null","ball",,,,,"12","null","R","L","R","SF","SD","B","null","null",1,0,2018,"1.4409","-0.2011","1.1063","2.6053","null","null","null",0,8,"Bot","null","null",,,454560,,"180502_222911","1.9539","-114.0078","1.0770","12.2231","19.7088","-34.3211","3.2306","1.3695","null","null","null","78.4390","2785","6.2180",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"54.2792","null","null","null","null","null","null","null",74,"2","Slider",9,3,9,3,3,9,9,3,"Infield shift","Strategic"
"SL","2018-05-02","78.1","-1.0156","5.4318","Phil Maton",474832,664208,"null","ball",,,,,"14","null","R","L","R","SF","SD","B","null","null",0,0,2018,"1.4832","-0.3790","1.4179","0.8870","null","null","null",0,8,"Bot","null","null",,,454560,,"180502_222854","2.5275","-113.7806","-2.2248","12.3110","20.9724","-35.2560","3.2757","1.4821","null","null","null","77.9510","2710","6.1270",529867,664208,454560,543333,517369,570799,520471,614173,622534,608671,"54.3703","null","null","null","null","null","null","null",74,"1","Slider",9,3,9,3,3,9,9,3,"Infield shift","Standard"
"SL","2018-05-02","83.1","-2.2673","4.6698","Cory Gearrin",520471,518715,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",1,1,2018,"0.4774","0.4885","-1.2955","2.5475","null","null","614173.00",2,8,"Top","null","null",,,460026,,"180502_222343","1.3079","-120.9401","0.5524","4.3435","19.3958","-27.8305","3.1202","1.3189","null","null","null","82.0240","2821","5.1610",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.3360","null","null","null","null","null","null","null",73,"3","Slider",9,3,3,9,3,9,3,9,"Standard","Standard"
"SI","2018-05-02","91.2","-2.2011","4.6563","Cory Gearrin",520471,518715,"null","ball",,,,,"13","null","R","L","R","SF","SD","B","null","null",0,0,2018,"-1.7590","0.1643","-0.9828","1.1709","null","null","614173.00",2,8,"Top","null","null",,,460026,,"180502_222302","6.7541","-132.5661","-3.1797","-21.9421","28.8666","-29.8052","3.1877","1.4090","null","null","null","90.5910","2319","6.0180",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"54.4791","null","null","null","null","null","null","null",73,"1","Sinker",9,3,3,9,3,9,3,9,"Standard","Standard"
"SI","2018-05-02","90.6","-2.1081","4.7753","Cory Gearrin",614173,518715,"walk","ball",,,,,"14","Franchy Cordero walks.  ","R","L","R","SF","SD","B","null","null",3,2,2018,"-1.4024","-0.0192","1.0833","2.3440","null","null","null",2,8,"Top","null","null",,,460026,,"180502_222225","10.6984","-131.4001","-0.1234","-17.9884","25.2227","-32.5982","3.7307","1.6608","null","null","null","89.5220","2298","5.5970",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"54.9000","null","null","0.70",1,0,0,"null",72,"6","Sinker",9,3,3,9,3,9,3,9,"Strategic","Standard"
"SL","2018-05-02","84.2","-2.3803","4.6199","Cory Gearrin",614173,518715,"null","ball",,,,,"13","null","R","L","R","SF","SD","B","null","null",2,2,2018,"0.6229","0.5176","-1.1837","2.2255","null","null","null",2,8,"Top","null","null",,,460026,,"180502_222200","1.5663","-122.6308","-0.2665","5.8404","20.7788","-27.2894","3.7307","1.6383","null","null","null","83.1420","null","5.2180",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.2795","null","null","null","null","null","null","null",72,"5","Slider",9,3,3,9,3,9,3,9,"Strategic","Standard"
"SI","2018-05-02","91.5","-2.1970","4.8277","Cory Gearrin",614173,518715,"null","ball",,,,,"1","null","R","L","R","SF","SD","B","null","null",1,2,2018,"-0.8308","0.8540","-0.5223","3.7697","null","null","null",2,8,"Top","null","null",,,460026,,"180502_222134","5.8678","-133.0140","1.3506","-10.7942","25.9177","-22.7500","3.7082","1.6833","null","null","null","90.5110","2250","5.5350",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"54.9623","null","null","null","null","null","null","null",72,"4","Sinker",9,3,3,9,3,9,3,9,"Strategic","Standard"
"SL","2018-05-02","82.0","-2.4285","4.6789","Cory Gearrin",614173,518715,"null","called_strike",,,,,"4","null","R","L","R","SF","SD","S","null","null",1,0,2018,"1.1279","0.5265","-0.4499","2.2816","null","null","null",2,8,"Top","null","null",,,460026,,"180502_222050","2.3440","-119.3730","0.0507","10.0817","19.7463","-27.5302","3.5676","1.5435","null","null","null","80.9060","2882","5.2040",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.2935","null","null","null","null","null","null","null",72,"2","Slider",9,3,3,9,3,9,3,9,"Strategic","Standard"
"SL","2018-05-02","82.2","-2.5648","4.7404","Cory Gearrin",614173,518715,"null","ball",,,,,"11","null","R","L","R","SF","SD","B","null","null",0,0,2018,"1.0679","0.4227","-1.8548","2.7130","null","null","null",2,8,"Top","null","null",,,460026,,"180502_222031","-0.3501","-119.6274","1.0286","9.9807","19.6721","-28.6528","3.7252","1.6110","null","null","null","80.9480","null","5.0990",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.3988","null","null","null","null","null","null","null",72,"1","Slider",9,3,3,9,3,9,3,9,"Standard","Standard"
"SL","2018-05-02","83.4","-2.3017","4.6501","Cory Gearrin",517369,518715,"strikeout","called_strike",,,,,"5","Jose Pirela called out on strikes.  ","R","R","R","SF","SD","S",2,"null",2,2,2018,"0.6875","0.6586","-0.2602","2.3784","null","null","null",1,8,"Top","null","null",,,460026,,"180502_222000","3.3345","-121.3267","-0.0910","6.0124","21.4913","-26.0740","3.5015","1.6297","null","null","null","82.2900","2925","5.3460",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.1512","null","null","0.00",1,0,0,"null",71,"6","Slider",9,3,3,9,3,9,3,9,"Standard","Standard"
"SI","2018-05-02","90.9","-2.2584","4.7784","Cory Gearrin",517369,518715,"null","ball",,,,,"13","null","R","R","R","SF","SD","B","null","null",1,0,2018,"-1.4978","0.4151","-1.2459","1.7988","null","null","null",1,8,"Top","null","null",,,460026,,"180502_221813","5.5454","-132.1223","-2.4210","-18.2098","25.6964","-27.1916","3.6715","1.6972","null","null","null","89.8080","2299","5.4850",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"55.0126","null","null","null","null","null","null","null",71,"2","Sinker",9,3,3,9,3,9,3,9,"Standard","Standard"
"CH","2018-05-02","83.1","-2.2570","4.6444","Cory Gearrin",517369,518715,"null","ball",,,,,"13","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-1.5873","-0.0613","-0.2228","1.2688","null","null","null",1,8,"Top","null","null",,,460026,,"180502_221755","7.6399","-120.7862","-1.1824","-16.7402","21.5222","-32.7761","3.6265","1.5846","null","null","null","82.6790","2171","5.8790",529867,518715,460026,474832,605509,446334,543063,453923,457706,491676,"54.6187","null","null","null","null","null","null","null",71,"1","Changeup",9,3,3,9,3,9,3,9,"Standard","Standard"
"FF","2018-05-02","96.5","-1.2842","5.9221","Jordan Lyles",460026,543475,"null","ball",,,,,"11","null","R","R","R","SF","SD","B","null","null",0,0,2018,"-0.7437","1.3190","-0.2802","3.8704","null","null","null",2,7,"Bot","null","null",,,454560,,"180502_221221","4.3933","-140.5701","-2.9359","-10.9028","31.5812","-14.1328","3.3966","1.5295","null","null","null","97.0140","2151","6.5020",529867,543475,454560,543333,517369,570799,520471,614173,622534,608671,"53.9956","null","null","null","null","null","null","null",69,"1","4-Seam Fastball",9,3,9,3,3,9,9,3,"Standard","Standard"
